"white","black","hispanic","poverty","density","age65plus","population2014","population2010","clinton","trump","romney","obama","asian","highschool","bachelor","income","immigrant","foreign_lang","household_size","female","age18under","landarea","veteran","county_name","fips","state_abbr"
0.764,0.177,0.064,18.6,73.6,0.159,50909,49948,0.204455711012529,0.771461999707503,0.742480344915039,0.248490996703018,0.016,0.824,0.225,43768,0.051,0.075,2.65,0.505,0.237,678.97,6066,"Coffee County",1031,"AL"
0.808,0.163,0.026,17.9,91.8,0.185,54543,54428,0.296272232599691,0.678875984731585,0.596004107127578,0.391888423034141,0.005,0.835,0.177,39077,0.02,0.026,2.42,0.518,0.217,592.62,4376,"Colbert County",1033,"AL"
0.521,0.462,0.018,32.7,15.6,0.204,12670,13228,0.469050894085282,0.521626165367568,0.489662056181377,0.506345358619706,0.001,0.773,0.088,24658,0.006,0.022,2.61,0.519,0.214,850.16,1101,"Conecuh County",1035,"AL"
0.661,0.318,0.023,20.9,17.7,0.185,10886,11758,0.340800306337354,0.646371816963431,0.577531947358383,0.417318329200839,0.002,0.75,0.098,37277,0.018,0.033,2.42,0.495,0.183,650.93,934,"Coosa County",1037,"AL"
0.843,0.13,0.016,20,36.6,0.198,37914,37765,0.150398280440005,0.835883171070932,0.78806357444048,0.204670775218943,0.005,0.784,0.142,35869,0.014,0.021,2.48,0.516,0.221,1030.46,3433,"Covington County",1039,"AL"
0.72,0.24,0.017,19.1,22.8,0.18,13977,13906,0.265994881637876,0.721529110684581,0.674777725783809,0.319450943690532,0.018,0.767,0.127,36275,0.023,0.032,2.46,0.511,0.227,608.84,1098,"Crenshaw County",1041,"AL"
0.962,0.014,0.044,18.8,109.4,0.176,81289,80410,0.100059016041633,0.878105048554107,0.841822894689252,0.146331906685153,0.005,0.798,0.148,38847,0.03,0.046,2.53,0.505,0.225,734.84,6167,"Cullman County",1043,"AL"
0.752,0.197,0.061,17.4,89.6,0.154,49484,50251,0.236772842026105,0.741150561314927,0.706430920166029,0.284782491509892,0.013,0.841,0.17,44889,0.037,0.063,2.52,0.505,0.236,561.15,6730,"Dale County",1045,"AL"
0.29,0.695,0.01,35.5,44.8,0.156,41711,43820,0.684783769353978,0.308809396689802,0.300152846771112,0.697315628582346,0.005,0.775,0.142,26519,0.008,0.013,2.63,0.537,0.252,978.7,2897,"Dallas County",1047,"AL"
0.924,0.021,0.142,19.9,91.5,0.157,71065,71115,0.141148508778655,0.834892279383577,0.768224142269944,0.219570505830048,0.004,0.706,0.107,37851,0.075,0.112,2.82,0.507,0.247,777.09,4371,"DeKalb County",1049,"AL"
0.76,0.212,0.027,13.4,128.2,0.14,80977,79296,0.228586912342501,0.748380978187237,0.739926636568849,0.252257336343115,0.007,0.866,0.21,54766,0.021,0.036,2.62,0.515,0.23,618.49,8364,"Elmore County",1051,"AL"
0.622,0.324,0.021,25.4,40.5,0.167,37733,38319,0.308814829422205,0.675869322290147,0.624528047464941,0.369201725997843,0.003,0.762,0.117,30687,0.006,0.014,2.59,0.488,0.22,945.08,2995,"Escambia County",1053,"AL"
0.812,0.155,0.037,19,195.2,0.173,103531,104427,0.238073331186456,0.739108432626397,0.684914097434691,0.301059072722994,0.008,0.818,0.148,38013,0.022,0.031,2.55,0.516,0.221,534.99,8638,"Etowah County",1055,"AL"
0.862,0.119,0.014,19.9,27.5,0.196,16874,17241,0.165690580771108,0.818081991215227,0.762639029322548,0.227881698685541,0.003,0.749,0.132,33838,0.006,0.008,2.41,0.505,0.217,627.66,1221,"Fayette County",1057,"AL"
0.919,0.046,0.161,21.9,50,0.159,31601,31709,0.183772480133835,0.791802593057298,0.696841329772539,0.292015839395893,0.004,0.725,0.11,36415,0.084,0.132,2.52,0.503,0.243,633.82,1860,"Franklin County",1059,"AL"
0.871,0.097,0.036,21.2,46.6,0.192,26712,26790,0.130542928209967,0.854876061411785,0.810478883194911,0.180155504506096,0.004,0.772,0.104,35625,0.018,0.03,2.43,0.508,0.222,574.41,2336,"Geneva County",1061,"AL"
0.185,0.805,0.01,32.9,14,0.179,8553,9045,0.823940765117236,0.172357054709996,0.149962462462462,0.847222222222222,0.002,0.762,0.128,24226,0.002,0.014,2.72,0.525,0.233,647.11,502,"Greene County",1063,"AL"
0.408,0.581,0.013,26.6,24.5,0.173,15184,15760,0.595755305867665,0.396004993757803,0.371464997681966,0.625985164580436,0.003,0.774,0.128,30051,0.012,0.027,2.56,0.528,0.233,643.94,995,"Hale County",1065,"AL"
0.704,0.273,0.026,14.4,30.8,0.208,17190,17302,0.285144068853686,0.701384557814644,0.644252873563218,0.350114942528736,0.007,0.801,0.166,41650,0.029,0.05,2.44,0.518,0.212,561.75,1497,"Henry County",1067,"AL"
0.7,0.267,0.033,18,175.1,0.161,104193,101547,0.250939804901261,0.727266238401142,0.698181296752145,0.295103123581005,0.009,0.839,0.197,40948,0.024,0.044,2.58,0.521,0.237,579.82,9254,"Houston County",1069,"AL"
0.915,0.036,0.029,16,49.4,0.186,52665,53226,0.176232860235747,0.80072167428434,0.70162977377767,0.282996837752372,0.005,0.746,0.13,37634,0.022,0.034,2.53,0.507,0.217,1077.87,4000,"Jackson County",1071,"AL"
0.54,0.429,0.038,18,592.5,0.143,660793,658350,0.522493114704372,0.450220777564449,0.466057398228222,0.526187776840329,0.016,0.874,0.3,45429,0.041,0.059,2.48,0.528,0.231,1111.28,46613,"Jefferson County",1073,"AL"
0.871,0.113,0.014,22.3,24.1,0.205,14086,14564,0.149329101139807,0.839561390852691,0.761698561251571,0.229501327000978,0.001,0.761,0.095,36028,0.006,0.01,2.32,0.512,0.217,604.85,1127,"Lamar County",1075,"AL"
0.867,0.104,0.024,17.2,138.8,0.182,93096,92709,0.254476592894133,0.71458016643908,0.647610274195296,0.338788338571583,0.009,0.838,0.211,42844,0.021,0.03,2.36,0.521,0.205,667.7,7000,"Lauderdale County",1077,"AL"
0.781,0.114,0.022,17.5,49.7,0.168,33477,34339,0.246939752444779,0.733912329891267,0.628950919809646,0.359045386746218,0.002,0.771,0.119,38551,0.01,0.019,2.52,0.513,0.217,690.68,1891,"Lawrence County",1079,"AL"
0.709,0.237,0.039,22,230.8,0.103,154255,140296,0.363928001664701,0.595148089061525,0.592478979950106,0.393125750716068,0.033,0.867,0.325,43542,0.051,0.069,2.49,0.507,0.216,607.54,10045,"Lee County",1081,"AL"
0.82,0.135,0.058,14.7,147.8,0.138,90787,82782,0.237055837563452,0.731573604060914,0.713523131672598,0.277043438965147,0.014,0.815,0.227,48619,0.043,0.064,2.56,0.497,0.234,559.94,6964,"Limestone County",1083,"AL"
0.258,0.729,0.012,26.7,15.8,0.174,10580,11299,0.731276213301378,0.262282804074296,0.233275701556058,0.764330363080197,0.002,0.739,0.144,26230,0.002,0.007,2.61,0.523,0.231,715.91,626,"Lowndes County",1085,"AL"
0.167,0.815,0.015,27.3,35.2,0.168,19425,21450,0.827274805669867,0.159350708733425,0.127298988926336,0.870967741935484,0.003,0.8,0.196,30724,0.011,0.042,2.29,0.542,0.183,608.89,1662,"Macon County",1087,"AL"
0.694,0.246,0.047,12.8,417.7,0.137,350299,334811,0.391508280398563,0.559336063158027,0.586418076465415,0.399671478089917,0.026,0.9,0.385,58434,0.054,0.071,2.5,0.512,0.224,801.59,34203,"Madison County",1089,"AL"
0.474,0.51,0.024,24,21.5,0.186,20110,21029,0.512148337595908,0.47716477895506,0.462333825701625,0.534711964549483,0.003,0.837,0.174,35079,0.007,0.012,2.42,0.532,0.23,976.88,1462,"Marengo County",1091,"AL"
0.939,0.042,0.025,20.9,41.5,0.201,30271,30777,0.11090458488228,0.873063816604709,0.801057501652346,0.185806345009914,0.003,0.746,0.095,32888,0.01,0.025,2.34,0.504,0.212,742.29,2287,"Marion County",1093,"AL"
0.937,0.027,0.129,19.5,164.4,0.163,94636,93019,0.140511940511941,0.835607035607036,0.794484671083038,0.193221383454013,0.007,0.762,0.152,39526,0.08,0.115,2.7,0.509,0.245,565.84,7192,"Marshall County",1095,"AL"
0.601,0.353,0.028,19.8,335.9,0.145,415123,413143,0.418815450433633,0.557492334151432,0.542893064430016,0.450183421456005,0.02,0.839,0.207,43028,0.032,0.05,2.6,0.522,0.24,1229.44,33586,"Mobile County",1097,"AL"
0.555,0.411,0.012,28.6,22.5,0.179,21947,23070,0.423171330387825,0.566617574864998,0.536516853932584,0.458520599250936,0.004,0.761,0.106,29203,0.009,0.013,2.71,0.526,0.234,1025.68,1237,"Monroe County",1099,"AL"
0.389,0.567,0.034,21.2,292.5,0.133,226189,229363,0.620363321067546,0.3587531193165,0.376131105019601,0.618907261669663,0.026,0.856,0.315,44790,0.043,0.057,2.49,0.526,0.24,784.25,20008,"Montgomery County",1101,"AL"
0.835,0.125,0.079,15.7,206.3,0.159,119607,119486,0.224360384869276,0.747974635434378,0.717691776088459,0.272389121509004,0.007,0.814,0.199,44800,0.051,0.08,2.55,0.508,0.231,579.34,9518,"Morgan County",1103,"AL"
0.311,0.675,0.013,25.6,14.7,0.179,9826,10581,0.727497621313035,0.266983824928639,0.2479802143446,0.747897774113768,0.004,0.702,0.104,28209,0.005,0.008,2.84,0.534,0.224,719.66,670,"Perry County",1105,"AL"
0.581,0.402,0.041,27.2,22.4,0.178,20365,19746,0.41836949652412,0.574468085106383,0.533284717158037,0.463381602250234,0.003,0.797,0.11,28741,0.003,0.026,2.42,0.506,0.205,881.41,1610,"Pickens County",1107,"AL"
0.585,0.369,0.022,27.6,48.9,0.141,33389,32899,0.386871401151631,0.589712092130518,0.564771999715444,0.42747385644163,0.022,0.81,0.23,33090,0.04,0.058,2.4,0.519,0.194,672.09,2516,"Pike County",1109,"AL"
0.776,0.202,0.029,24.5,39.5,0.196,22539,22914,0.226061204343534,0.759822309970385,0.69473582908286,0.296025406601867,0.003,0.726,0.111,35213,0.017,0.034,2.48,0.514,0.22,580.55,1598,"Randolph County",1111,"AL"
0.531,0.429,0.05,22,82.6,0.125,59608,52949,0.500470317725752,0.481291806020067,0.438556515288008,0.556144348471199,0.008,0.804,0.16,36143,0.022,0.05,2.6,0.513,0.253,641.14,5977,"Russell County",1113,"AL"
0.84,0.121,0.06,7.9,248.5,0.13,206655,195218,0.231100314490767,0.734275461656318,0.772667129408702,0.216302980347924,0.022,0.912,0.403,68770,0.06,0.083,2.64,0.512,0.244,784.93,13991,"Shelby County",1117,"AL"
0.879,0.095,0.023,15.2,132.3,0.153,86697,83593,0.146295173577247,0.832406357909165,0.826121635094716,0.164933770118217,0.008,0.82,0.155,50786,0.018,0.025,2.63,0.501,0.23,631.9,6928,"St. Clair County",1115,"AL"
0.255,0.735,0.011,38,15.2,0.163,13166,13763,0.741511500547645,0.247379126897199,0.225622775800712,0.77153024911032,0.004,0.755,0.149,22186,0.009,0.019,2.57,0.55,0.197,903.89,706,"Sumter County",1119,"AL"
0.652,0.325,0.023,22.9,111.7,0.161,81322,82291,0.364501174062255,0.620025287494732,0.57679262838791,0.41654410661224,0.004,0.789,0.13,35439,0.016,0.028,2.5,0.514,0.223,736.78,6691,"Talladega County",1121,"AL"
0.706,0.273,0.023,19.8,58.1,0.196,41165,41618,0.284857328145266,0.700767401642888,0.659042211270624,0.334904649667881,0.005,0.792,0.163,39130,0.019,0.029,2.49,0.514,0.211,716.52,3631,"Tallapoosa County",1123,"AL"
0.66,0.31,0.033,18.9,147.3,0.117,202212,194653,0.388529886914378,0.583798404073041,0.582240907064144,0.407707497292821,0.015,0.866,0.27,45408,0.035,0.058,2.76,0.517,0.211,1321.76,12198,"Tuscaloosa County",1125,"AL"
0.913,0.064,0.023,20.9,84.7,0.182,65471,67023,0.153404233491776,0.827822042882057,0.759132540267397,0.229883847422536,0.004,0.764,0.105,37566,0.012,0.014,2.55,0.514,0.221,791.19,5353,"Walker County",1127,"AL"
0.66,0.246,0.014,18.4,16.3,0.17,16834,17583,0.278615167216203,0.710197833254828,0.656203629722634,0.339116539207853,0.001,0.805,0.095,42156,0.009,0.019,2.59,0.512,0.225,1080.21,1025,"Washington County",1129,"AL"
0.281,0.71,0.01,39.2,13.1,0.177,11098,11665,0.71025430680886,0.284987694831829,0.25599511226516,0.743393920879792,0.001,0.761,0.111,23642,0.001,0.009,2.9,0.524,0.248,888.5,462,"Wilcox County",1131,"AL"
0.963,0.01,0.029,24,39.9,0.2,24150,24483,0.0849341784495368,0.899561189663579,0.855642504118616,0.132413509060956,0.003,0.727,0.104,32900,0.011,0.018,2.52,0.509,0.209,612.98,1721,"Winston County",1133,"AL"
0.726,0.245,0.03,15.8,19.2,0.175,18594,19018,0.314415437003405,0.620236743959786,0.599876695437731,0.378236744759556,0.01,0.841,0.124,39633,0.022,0.028,2.36,0.516,0.23,988.77,1389,"Arkansas County",5001,"AR"
0.719,0.256,0.052,18.9,23.6,0.184,20948,21853,0.299987542045596,0.665005606079482,0.614782059380922,0.360707517372078,0.003,0.842,0.122,35683,0.021,0.047,2.47,0.518,0.236,925.35,1370,"Ashley County",5003,"AR"
0.968,0.004,0.02,15.5,74.9,0.3,40857,41513,0.212701818924995,0.748773758430411,0.707792543564817,0.267438854128962,0.006,0.876,0.165,35343,0.019,0.025,2.24,0.518,0.178,554.28,5725,"Baxter County",5005,"AR"
0.9,0.019,0.162,12.2,261.2,0.13,242321,221344,0.295919882879633,0.644490887101907,0.689803289261529,0.285636891325379,0.034,0.858,0.287,54515,0.109,0.155,2.74,0.505,0.27,847.36,16452,"Benton County",5007,"AR"
0.963,0.004,0.023,16.6,62.5,0.198,37196,36903,0.183823529411765,0.768288084464555,0.7253140662631,0.244874048037493,0.006,0.854,0.154,38506,0.013,0.025,2.43,0.508,0.226,590.23,3280,"Boone County",5009,"AR"
0.683,0.276,0.143,31.3,17.7,0.183,11148,11508,0.364113906552392,0.598009400055294,0.582828838745184,0.398183819482664,0.005,0.76,0.108,30409,0.067,0.102,2.32,0.511,0.234,649.23,765,"Bradley County",5011,"AR"
0.757,0.22,0.039,14.9,8.5,0.198,5202,5368,0.282666666666667,0.690666666666667,0.670653173873045,0.303587856485741,0.002,0.805,0.074,30980,0,0.003,2.55,0.492,0.181,628.58,391,"Calhoun County",5013,"AR"
0.945,0.008,0.146,18.8,43.6,0.211,27744,27446,0.312875375375375,0.635604354354354,0.601749901690916,0.362858828155722,0.009,0.846,0.173,36584,0.068,0.136,2.47,0.507,0.221,630.09,2961,"Carroll County",5015,"AR"
0.435,0.546,0.056,33,18.3,0.192,11180,11800,0.566401542540371,0.413593637020969,0.382939692731025,0.607429488649392,0.005,0.742,0.126,26201,0.033,0.05,2.41,0.508,0.232,644.3,905,"Chicot County",5017,"AR"
0.734,0.24,0.044,24.3,26.6,0.161,22576,22995,0.431081888822475,0.525762104004782,0.516654770402094,0.45300975493695,0.007,0.862,0.214,32721,0.026,0.052,2.41,0.521,0.192,866.07,1804,"Clark County",5019,"AR"
0.974,0.006,0.018,20.2,25.2,0.214,15118,16083,0.334392773502844,0.632151221144195,0.631115459882583,0.340117416829746,0.002,0.761,0.095,31502,0.009,0.019,2.3,0.511,0.204,639.47,1230,"Clay County",5021,"AR"
0.97,0.005,0.026,15.8,46.9,0.254,25634,25969,0.175551470588235,0.789939839572192,0.746457098685906,0.224856136734519,0.003,0.845,0.168,40246,0.02,0.029,2.47,0.507,0.198,553.69,3158,"Cleburne County",5023,"AR"
0.866,0.114,0.022,17.7,14.5,0.191,8449,8689,0.219157320400121,0.745680509245226,0.708205756276791,0.258726270667483,0.001,0.848,0.138,39420,0.004,0.009,2.56,0.511,0.234,597.78,630,"Cleveland County",5025,"AR"
0.611,0.362,0.027,25.4,32.1,0.166,23933,24552,0.355324205046962,0.61740409641281,0.612374405076679,0.376203067160233,0.009,0.854,0.203,35128,0.029,0.047,2.43,0.52,0.216,766.05,1508,"Columbia County",5027,"AR"
0.85,0.114,0.04,24,38.5,0.183,21083,21271,0.338777593466888,0.61809365828761,0.584023821853962,0.388788192646297,0.006,0.845,0.147,35225,0.019,0.045,2.57,0.509,0.231,552.25,1534,"Conway County",5029,"AR"
0.822,0.145,0.047,20.6,136.4,0.13,102518,96443,0.299530999771219,0.651967513154884,0.642291793507867,0.331688403242862,0.011,0.849,0.244,41393,0.037,0.052,2.51,0.513,0.249,707.21,6727,"Craighead County",5031,"AR"
0.915,0.016,0.067,20.2,104.4,0.153,61697,61948,0.202031144211239,0.751749040848567,0.735580196478942,0.236941931718704,0.016,0.822,0.143,39479,0.041,0.066,2.62,0.507,0.251,593.09,5321,"Crawford County",5033,"AR"
0.459,0.518,0.023,26.3,83.5,0.121,49548,50902,0.529687302190151,0.440119002405368,0.399149100754206,0.586089086572552,0.007,0.791,0.139,37751,0.017,0.029,2.72,0.526,0.279,609.76,3541,"Crittenden County",5035,"AR"
0.749,0.229,0.019,17.4,29,0.176,17227,17866,0.292050944224857,0.67003367003367,0.638922155688623,0.341167664670659,0.005,0.79,0.114,38085,0.007,0.012,2.57,0.514,0.24,616.38,1189,"Cross County",5037,"AR"
0.564,0.413,0.027,19.7,12.2,0.205,7755,8116,0.425027362276541,0.549799343305363,0.539734025300032,0.433668504703211,0.002,0.821,0.102,28931,0.025,0.034,2.32,0.517,0.223,667.39,444,"Dallas County",5039,"AR"
0.501,0.479,0.048,30.1,16.9,0.171,12264,13008,0.526975863700899,0.453147184098438,0.426179245283019,0.554952830188679,0.004,0.769,0.127,28680,0.018,0.041,2.39,0.532,0.256,768.15,754,"Desha County",5041,"AR"
0.696,0.28,0.029,28.5,22.3,0.161,18622,18509,0.360805860805861,0.60546398046398,0.586024750980984,0.396468457591307,0.009,0.813,0.191,31171,0.019,0.034,2.37,0.512,0.224,828.36,983,"Drew County",5043,"AR"
0.846,0.113,0.041,14.6,174.8,0.112,120768,113237,0.313281856612889,0.629151928220171,0.645007502057016,0.328130293790233,0.012,0.894,0.272,50314,0.029,0.048,2.62,0.511,0.239,647.88,8027,"Faulkner County",5045,"AR"
0.952,0.009,0.03,20.5,29.8,0.18,17805,18125,0.205434458047178,0.751567632128994,0.708212264872305,0.263801804557272,0.009,0.821,0.124,36766,0.008,0.018,2.61,0.505,0.236,608.86,1643,"Franklin County",5047,"AR"
0.968,0.006,0.012,18.7,19.8,0.254,12125,12245,0.22491568296796,0.731450252951096,0.652145068553737,0.32109685979655,0.003,0.837,0.1,35522,0.011,0.015,2.35,0.505,0.204,618.19,1358,"Fulton County",5049,"AR"
0.877,0.085,0.053,20.7,141.7,0.217,97322,96024,0.304509507400154,0.645883432084687,0.637878749267348,0.339364440253816,0.008,0.868,0.209,39162,0.036,0.056,2.37,0.517,0.209,677.78,10575,"Garland County",5051,"AR"
0.948,0.028,0.026,9.9,28.3,0.161,18144,17853,0.205251641137856,0.7527352297593,0.745446125347329,0.226458783575178,0.004,0.849,0.176,49004,0.019,0.031,2.59,0.503,0.235,631.81,1594,"Grant County",5053,"AR"
0.969,0.009,0.027,17.1,72.9,0.15,43694,42090,0.211898488420469,0.741783386492858,0.659153700741602,0.29067907517813,0.003,0.828,0.147,38413,0.011,0.025,2.53,0.508,0.246,577.7,3801,"Greene County",5055,"AR"
0.668,0.299,0.126,27.4,31.1,0.163,22327,22609,0.339490263459336,0.628722794959908,0.619164619164619,0.356409885821651,0.005,0.817,0.141,32056,0.057,0.103,2.67,0.516,0.264,727.52,1556,"Hempstead County",5057,"AR"
0.856,0.116,0.033,14.2,53.5,0.172,33368,32923,0.265509944985188,0.69005501481168,0.630572114956847,0.340243793931844,0.004,0.834,0.123,41193,0.009,0.017,2.58,0.481,0.216,615.2,3202,"Hot Spring County",5059,"AR"
0.758,0.209,0.11,23.2,23.4,0.169,13500,13789,0.291324989210186,0.680837289598619,0.647657841140529,0.330391491287622,0.007,0.76,0.12,35879,0.062,0.124,2.6,0.513,0.261,588.55,875,"Howard County",5061,"AR"
0.945,0.023,0.059,23.7,48,0.17,36959,36647,0.214089117012572,0.73830246224801,0.704116222760291,0.264648910411622,0.008,0.825,0.144,35026,0.036,0.043,2.46,0.513,0.24,763.95,2826,"Independence County",5063,"AR"
0.954,0.018,0.019,18.7,23.6,0.25,13486,13696,0.205893254262417,0.749073387694589,0.672124976472803,0.294184076792772,0.003,0.798,0.117,30661,0.023,0.025,2.26,0.476,0.182,580.58,1605,"Izard County",5065,"AR"
0.796,0.176,0.029,28.4,28.4,0.167,17534,17998,0.310818770861967,0.640486942862753,0.574185088047958,0.392094417384788,0.004,0.756,0.088,30284,0.008,0.017,2.28,0.503,0.204,633.94,1352,"Jackson County",5067,"AR"
0.417,0.555,0.019,23.9,88.9,0.151,72297,77435,0.612116964529066,0.359420628431258,0.347719631632802,0.637918432977635,0.009,0.83,0.175,37140,0.014,0.031,2.47,0.508,0.233,870.75,5858,"Jefferson County",5069,"AR"
0.934,0.021,0.135,20.1,38.7,0.158,26005,25540,0.269089696565522,0.674891630543515,0.62562003968254,0.345362103174603,0.012,0.797,0.147,31003,0.063,0.121,2.49,0.503,0.248,659.8,1887,"Johnson County",5071,"AR"
0.611,0.371,0.02,24.1,14.5,0.215,7111,7645,0.362610229276896,0.617283950617284,0.584699453551913,0.400614754098361,0.005,0.775,0.107,29732,0.007,0.012,2.7,0.517,0.202,528.27,534,"Lafayette County",5073,"AR"
0.971,0.01,0.013,25.4,29.6,0.193,16931,17412,0.224373778646296,0.721975484100195,0.638432364096081,0.322557341520679,0.002,0.774,0.104,32239,0.006,0.014,2.52,0.505,0.226,587.61,1443,"Lawrence County",5075,"AR"
0.431,0.542,0.027,31.5,17.3,0.167,9860,10424,0.577563249001332,0.409121171770972,0.373831775700935,0.61536214953271,0.005,0.701,0.071,25034,0.008,0.01,2.54,0.44,0.196,602.62,485,"Lee County",5077,"AR"
0.677,0.303,0.036,27,25.2,0.135,13970,14134,0.328264289459885,0.643681174619822,0.590335570469799,0.382281879194631,0.003,0.735,0.079,32697,0.015,0.033,2.53,0.389,0.178,561.52,901,"Lincoln County",5079,"AR"
0.757,0.197,0.031,14,24.7,0.195,12532,13168,0.269067796610169,0.694144838212635,0.670164323896258,0.307265887942982,0.004,0.834,0.106,39673,0.014,0.03,2.41,0.509,0.222,532.25,1218,"Little River County",5081,"AR"
0.937,0.015,0.027,17.6,31.6,0.192,21958,22353,0.21839520346983,0.731853552749075,0.692769440654843,0.274079126875853,0.019,0.813,0.117,34996,0.012,0.026,2.63,0.502,0.224,708.13,2058,"Logan County",5083,"AR"
0.904,0.062,0.04,13.2,88.7,0.126,71557,68354,0.21064036464171,0.743555256668908,0.741726529086908,0.233027446746668,0.009,0.867,0.182,52582,0.021,0.025,2.74,0.505,0.264,770.73,7426,"Lonoke County",5085,"AR"
0.952,0.004,0.054,22.6,18.8,0.175,15740,15720,0.234001769389561,0.725007372456502,0.649002588701081,0.319628445256586,0.008,0.766,0.103,35771,0.023,0.047,2.58,0.499,0.235,834.26,1279,"Madison County",5087,"AR"
0.965,0.004,0.023,18.9,27.9,0.268,16367,16653,0.204971717773147,0.755730872283418,0.678759425238298,0.287949921752739,0.003,0.836,0.129,34494,0.024,0.019,2.34,0.503,0.173,597.01,2267,"Marion County",5089,"AR"
0.717,0.251,0.031,19.5,69.5,0.152,43428,43462,0.266812363409304,0.705151420543241,0.692934959879966,0.294735468719421,0.006,0.851,0.139,41319,0.009,0.032,2.49,0.508,0.241,625.58,3406,"Miller County",5091,"AR"
0.628,0.349,0.04,24.9,51.6,0.134,44235,46480,0.432550981146595,0.537745286648711,0.494344145628886,0.482807700951382,0.005,0.778,0.13,36428,0.018,0.042,2.64,0.513,0.267,900.57,3002,"Mississippi County",5093,"AR"
0.567,0.403,0.022,28.8,13.4,0.203,7582,8150,0.469269703543022,0.506146059291396,0.490712074303406,0.490092879256966,0.006,0.753,0.113,27263,0.008,0.015,2.33,0.525,0.212,607.12,629,"Monroe County",5095,"AR"
0.951,0.006,0.036,22,12.2,0.254,9082,9487,0.213352685050798,0.746879535558781,0.695856597120188,0.270349691448722,0.007,0.823,0.129,31345,0.017,0.038,2.39,0.501,0.192,779.88,1139,"Montgomery County",5097,"AR"
